day_coordinate,cam_angle_deg,pitch_radius_mm,surface_x_mm,surface_y_mm,surface_radius_mm,pressure_angle_deg,pitch_curvature_radius_mm
13.307291667,13.125000000,92.307258148,82.360888118,18.273150907,84.363641076,6.505593513,74.419672985
13.434027778,13.250000000,92.284241130,82.299887627,18.443438037,84.341163794,6.536624347,74.423959852
13.560763889,13.375000000,92.261119474,82.238434815,18.613527631,84.318583786,6.567616972,74.428149812
13.687500000,13.500000000,92.237893386,82.176530487,18.783418342,84.295901250,6.598571448,74.432243029
13.814236111,13.625000000,92.214563068,82.114175452,18.953108827,84.273116380,6.629487836,74.436239668
13.940972222,13.750000000,92.191128725,82.051370522,19.122597746,84.250229371,6.660366196,74.440139894
14.067708333,13.875000000,92.167590560,81.988116516,19.291883762,84.227240421,6.691206616,74.443889059
14.194444444,14.000000000,92.143948776,81.924414262,19.460965520,84.204149726,6.722009319,74.447494284
14.321180556,14.125000000,92.120203577,81.860264586,19.629841688,84.180957483,6.752774385,74.451003500
14.447916667,14.250000000,92.096355165,81.795668315,19.798510944,84.157663886,6.783501874,74.454416874
14.574652778,14.375000000,92.072403743,81.730626283,19.966971964,84.134269130,6.814191843,74.457734573
14.701388889,14.500000000,92.048349514,81.665139325,20.135223431,84.110773410,6.844844351,74.460956764
14.828125000,14.625000000,92.024192681,81.599208282,20.303264032,84.087176921,6.875459455,74.464083613
14.954861111,14.750000000,91.999933448,81.532833997,20.471092456,84.063479858,6.906037211,74.467115289
15.081597222,14.875000000,91.975572016,81.466017274,20.638707508,84.039682401,6.936576815,74.471335597
15.208333333,15.000000000,91.951108599,81.398758815,20.806108281,84.015784698,6.967075284,74.476172735
15.335069444,15.125000000,91.926543415,81.331059470,20.973293513,83.991786951,6.997532408,74.480917128
15.461805556,15.250000000,91.901876679,81.262920110,21.140261909,83.967689371,7.027948240,74.485568960
15.588541667,15.375000000,91.877108612,81.194341606,21.307012182,83.943492166,7.058322831,74.490128415
